Pašvaldība;Iestādes reģistrācijas Nr.;Iestādes nosaukums;Iestādes veids;Iestādes tips;Pakļautība;Faktiskais dibinātājs;Adreses ATVK kods; Izglītības programmas otrais klasifikācijas līmenis;Izglītības programmas kods;Izglītības programmas nosaukums;1.kursā;2.kursā;3.kursā;4.kursā;Izglītojamo skaits kopā (1.-4.kurss)
AIZKRAUKLES NOVADS;4535003583;Aizkraukles Profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;020200;32a;32a521011;Metālapstrāde;24;;;;24
AIZKRAUKLES NOVADS;4535003583;Aizkraukles Profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;020200;33;33346011;Administratīvie un sekretāra pakalpojumi;10;10;11;9;40
AIZKRAUKLES NOVADS;4535003583;Aizkraukles Profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;020200;33;33525011;Autotransports;24;21;19;17;81
AIZKRAUKLES NOVADS;4535003583;Aizkraukles Profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;020200;33;33543041;Koka izstrādājumu izgatavošana;10;16;6;8;40
AIZKRAUKLES NOVADS;4535003583;Aizkraukles Profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;020200;33;33582021;Būvniecība;22;16;18;18;74
AIZKRAUKLES NOVADS;4535003583;Aizkraukles Profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;020200;33;33811021;Ēdināšanas pakalpojumi;20;17;9;11;57
AUGŠDAUGAVAS NOVADS;4213903005;Bebrenes vispārizglītojošā un profesionālā vidusskola;Vispārējās izglītības iestāde;Vispārizglītojošā vidusskola;Pašvaldība ; Augšdaugavas novada pašvaldības Centrālā pārvalde;022410;32;32811021;Ēdināšanas pakalpojumi;7;;;;7
AUGŠDAUGAVAS NOVADS;4213903005;Bebrenes vispārizglītojošā un profesionālā vidusskola;Vispārējās izglītības iestāde;Vispārizglītojošā vidusskola;Pašvaldība ; Augšdaugavas novada pašvaldības Centrālā pārvalde;022410;33;33621041;Lopkopība;6;7;4;6;23
AUGŠDAUGAVAS NOVADS;4213903005;Bebrenes vispārizglītojošā un profesionālā vidusskola;Vispārējās izglītības iestāde;Vispārizglītojošā vidusskola;Pašvaldība ; Augšdaugavas novada pašvaldības Centrālā pārvalde;022410;33;33640011;Veterinārmedicīna;22;11;8;10;51
AUGŠDAUGAVAS NOVADS;4213903005;Bebrenes vispārizglītojošā un profesionālā vidusskola;Vispārējās izglītības iestāde;Vispārizglītojošā vidusskola;Pašvaldība ; Augšdaugavas novada pašvaldības Centrālā pārvalde;022410;35b;35b621041;Lopkopība;12;;;;12
AUGŠDAUGAVAS NOVADS;4213903005;Bebrenes vispārizglītojošā un profesionālā vidusskola;Vispārējās izglītības iestāde;Vispārizglītojošā vidusskola;Pašvaldība ; Augšdaugavas novada pašvaldības Centrālā pārvalde;022410;35b;35b640011;Veterinārmedicīna;15;;;;15
AUGŠDAUGAVAS NOVADS;4213903005;Bebrenes vispārizglītojošā un profesionālā vidusskola;Vispārējās izglītības iestāde;Vispārizglītojošā vidusskola;Pašvaldība ; Augšdaugavas novada pašvaldības Centrālā pārvalde;022410;35b;35b811021;Ēdināšanas pakalpojumi;9;;;;9
BALVU NOVADS;4213903598;Balvu profesionālā un vispārizglītojošā vidusskola;Vispārējās izglītības iestāde;Vispārizglītojošā vidusskola;Pašvaldība ; Balvu novada pašvaldība;024200;33;33341021;Komerczinības;8;3;4;;15
BALVU NOVADS;4213903598;Balvu profesionālā un vispārizglītojošā vidusskola;Vispārējās izglītības iestāde;Vispārizglītojošā vidusskola;Pašvaldība ; Balvu novada pašvaldība;024200;33;33543041;Kokizstrādājumu izgatavošana;4;6;2;6;18
BALVU NOVADS;4213903598;Balvu profesionālā un vispārizglītojošā vidusskola;Vispārējās izglītības iestāde;Vispārizglītojošā vidusskola;Pašvaldība ; Balvu novada pašvaldība;024200;33;33815001;Skaistumkopšanas pakalpojumi;21;19;6;4;50
BALVU NOVADS;4213903598;Balvu profesionālā un vispārizglītojošā vidusskola;Vispārējās izglītības iestāde;Vispārizglītojošā vidusskola;Pašvaldība ; Balvu novada pašvaldība;024200;35b;35b761011;Bērnu aprūpe;11;;;;11
CĒSU NOVADS;4435303590;Alfrēda Kalniņa Cēsu mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;026200;33;33212011;Taustiņinstrumentu spēle;5;1;3;1;10
CĒSU NOVADS;4435303590;Alfrēda Kalniņa Cēsu mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;026200;33;33212021;Stīgu instrumentu spēle;2;;2;2;6
CĒSU NOVADS;4435303590;Alfrēda Kalniņa Cēsu mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;026200;33;33212031;Pūšaminstrumentu spēle;;;1;3;4
CĒSU NOVADS;4435303590;Alfrēda Kalniņa Cēsu mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;026200;33;33212041;Sitaminstrumentu spēle;;1;;;1
CĒSU NOVADS;4435303590;Alfrēda Kalniņa Cēsu mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;026200;33;33212051;Diriģēšana;3;1;2;1;7
CĒSU NOVADS;4435303590;Alfrēda Kalniņa Cēsu mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;026200;33;33212061;Vokālā mūzika;;2;;1;3
CĒSU NOVADS;4435303590;Alfrēda Kalniņa Cēsu mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;026200;33;33212091;Mūzika;3;1;4;1;9
CĒSU NOVADS;4435303590;Alfrēda Kalniņa Cēsu mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;026200;35b;35b212061;Vokālā mūzika;1;;1;;2
CĒSU NOVADS;4435303590;Alfrēda Kalniņa Cēsu mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;026200;35b;35b212091;Mūzika;1;;1;;2
CĒSU NOVADS;4436003580;Vidzemes Tehnoloģiju un dizaina tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;026500;33;33214111;Apģērbu dizains;18;9;13;7;47
CĒSU NOVADS;4436003580;Vidzemes Tehnoloģiju un dizaina tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;026500;33;33214151;Produktu dizains;;8;;4;12
CĒSU NOVADS;4436003580;Vidzemes Tehnoloģiju un dizaina tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;026500;33;33346011;Administratīvie un sekretāra pakalpojumi;;;;8;8
CĒSU NOVADS;4436003580;Vidzemes Tehnoloģiju un dizaina tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;026500;33;33483011;Datorsistēmas, datubāzes un datortīkli;22;25;21;13;81
CĒSU NOVADS;4436003580;Vidzemes Tehnoloģiju un dizaina tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;026500;33;33484011;Programmēšana;44;43;35;17;139
